x,y,z,Delta U,Delta a_x,Delta a_y,Delta a_z
0.3349573264886895,-1.1431925512602634,0.8249262772213062,-5.425006189562827e-05,5.442015921597926e-08,-8.852534112289478e-08,-2.207773683213562e-08
0.5343205279939341,-1.1083534540143858,-0.7397483974512126,-9.450269084448074e-07,2.7414532413376193e-08,-1.89882131147762e-08,5.257336051066365e-08
0.568721618821086,-1.4068635157734224,-0.07474304881066232,2.5326490914836635e-05,9.775872247730546e-09,2.8151085474918376e-08,-5.802463890580067e-09
-0.6670345667769887,0.6876420172823883,0.6081915478458562,4.761659474584165e-05,-6.502832118160008e-08,-1.6295130753791782e-08,-3.8987663566680595e-07
0.055675537958899436,0.950463389383411,0.39419292983483845,-9.376712317200406e-05,3.0866921676375467e-07,5.273114203268426e-07,1.6429285189608956e-07
-0.8797120089894398,0.3775134859127995,-0.9816687281649287,-6.312500303688448e-05,-1.5641665340071745e-07,1.3471536808297443e-07,8.296222537741016e-08
1.2034400593130912,-0.06839640351781263,-0.25325368255733427,0.00017597432056472978,-1.5498141237154546e-07,8.699239081785232e-08,1.5568801142171462e-07
-0.532288363835131,0.9556708682000957,-0.12079699853043534,0.00022721062458461682,1.0923030258667465e-08,-4.863989847406671e-07,9.262817819160487e-08
-0.6330914313690441,-0.5204722223875619,0.7867814481696916,-0.0001181847765525457,-4.459013433444562e-07,-2.1354130439133222e-07,-1.909205118286327e-07
0.6367675942626335,0.7191654695966792,0.7506835666369907,-1.196863260649085e-05,1.3991400707012497e-07,2.9730023786689198e-08,-1.2535033652819299e-07
1.0233954674352443,-0.19420715410723333,-0.2447773793155335,0.00017292459130531661,1.0751152431118055e-07,1.0136382931191956e-07,2.2084160504998994e-07
-0.5680890734281939,0.43001094442569854,0.7881276939309716,-0.0001895717109239849,-5.186380702712975e-07,2.4184281750219874e-07,-4.537769735114049e-08
-0.14954945839382136,-1.1026568620456763,-1.0820839867788752,-4.310090525898593e-05,1.6410952351015704e-09,-7.117892941449507e-08,2.4596133416158768e-08
0.6971331783397635,0.7964231273110185,0.5820090054463296,3.688963173809147e-05,5.993841590644811e-08,-3.53134922217622e-08,-1.2998548790599817e-07
-1.4809949768094546,0.516641229279767,0.25966728255009625,9.806952382159999e-05,7.8181961921281e-08,-4.09838390052507e-08,-5.5540274400030594e-08
0.3731253291837166,1.4868271802712838,0.38149754485803383,6.8896337964638685e-06,1.0850516929068122e-08,-2.394254806468562e-09,-1.967836135744308e-08
1.0181559988993174,0.10134726825727343,0.4335878176338599,0.00027656767583251416,-3.094145059024275e-07,2.0190440997060752e-07,-2.432699997453223e-07
0.5602143661830173,-1.293101297693331,-0.28368089333629165,2.990343271254541e-05,1.0944805169813578e-08,3.742577783133176e-08,1.8910650954928928e-08
-0.768794544677225,-1.0442056951271375,-0.4497027193711266,8.783825291069057e-05,1.846739103813457e-08,8.713653866920767e-08,1.703380674937262e-07
1.074669979253298,-0.6224208938146233,0.6960672445268247,8.61023219566864e-05,-2.2816062890848615e-08,1.1568548267943358e-07,-1.4084070786820306e-07
-1.0592129468061424,-0.21077956561779423,0.1024382020517754,0.0004993071143730964,1.020001681223609e-06,-1.2041529441669353e-07,-2.337545946505858e-07
0.5483230187776537,0.6652457342637733,0.7420572838551988,-4.145509229229668e-05,2.0254058728403548e-07,9.655920817487139e-08,-1.482172311957995e-07
-0.3617123899376908,-0.4795708287861013,0.8899288614881402,-0.0003664888426289656,-4.618227032276615e-07,-4.4453713756229734e-07,3.645403372084886e-07
-0.15312193391966705,-1.021072351737223,-0.9070946514253194,-4.226510287521611e-05,2.0674519072441326e-10,-8.039721451632757e-08,5.582027009605738e-08
-1.3878802691276946,0.7504463230578707,0.2149865435300899,9.605083441599798e-05,7.800237668502167e-08,-5.362085270961592e-08,-5.092772459158455e-08
1.1793302960315692,-0.7297359558981804,0.2707815013146601,0.00011803436788152795,-8.458012132314894e-08,1.3611542792724131e-07,-3.79764067988225e-08
1.076392955140829,-0.5322627061780663,0.7859290240560303,7.853699569873025e-05,-1.7582447132094214e-08,8.985757743756868e-08,-1.6218584468513532e-07
-1.2450278204470548,-0.6828741876552566,-0.7180173319403594,3.0508702507064138e-05,-3.199899897029317e-08,-1.071741781610802e-08,1.1728573112131686e-07
-1.2329182506609029,0.5020717128293732,-0.4839567865755166,0.00011769341496814234,1.1044235351756203e-07,-2.637275389357938e-08,1.586177132376923e-07
0.02004588069872287,0.771322122094257,0.716425934317455,-9.396737456099327e-05,1.0077853937484792e-07,-5.449268806359746e-08,-3.991127484180088e-07
1.2761031445628133,-0.18887954476511712,-0.8118190500559703,3.680280365947718e-05,1.783082528752251e-08,1.893376641680372e-08,8.177385960388729e-08
-0.04436440668558252,-0.939027484329711,-0.8053402794216905,-3.960731765194297e-05,1.6241651553036297e-08,-5.977678851006321e-08,8.183987035074245e-08
-0.8014168536919194,-0.6042266947580296,0.24222113620909785,0.0005094577041338598,4.931512336703942e-07,1.0647877657633687e-06,-7.513854468902146e-07
-0.7336141977848069,-0.3063852411291206,1.0526276889316173,-0.0001335621802464965,-2.91036901703689e-07,-8.139096756406381e-08,2.8243232351851486e-08
-0.44866697836851827,0.9288025410428471,-1.1757670083603124,-5.356337809586347e-05,-5.300050577206555e-08,7.746581976049259e-08,1.250631775060489e-08
-0.23482712278250467,-1.0859306742651171,-0.38753459965256,2.104993645510686e-05,-2.0889851913627847e-07,-1.0315713259320934e-07,6.458071244251785e-08
0.5590274040759123,-1.1491254328516876,0.28900674751939204,1.5232937662434926e-05,6.869430766446801e-08,8.372785625837977e-09,-5.660199559643169e-08
0.16974031732980976,-0.4242158138372088,-1.0324676517659057,-0.00021382825019344588,1.4802930700877662e-07,-3.2011043640833253e-07,-1.8359236671048427e-07
0.1315373893195614,-0.9655977258333938,0.42431485210981423,-5.43746028536737e-05,6.592672943488477e-10,-1.031981155003627e-07,-1.4906801881498732e-07
0.014515523494077988,1.0639989150879368,-0.15899455869434753,8.400173960801029e-05,1.5145164931038953e-09,-2.2513623194137032e-07,1.9037746816829805e-07
-1.391881087128733,0.2438016384773706,0.299179261169394,0.00012857117649462042,1.0236489737558653e-07,-5.417543486080261e-08,-9.387846406882686e-08
1.2659366815486348,0.7778160856054265,0.3323869144996845,7.99859844430728e-05,-3.530410861816884e-08,-8.702172640841328e-08,-3.459965676439415e-08
0.8170789879319443,-0.6637814489025436,-0.35722442567677615,0.00015415043552304217,-2.052631012528142e-07,2.685108251572881e-07,1.3359480278029294e-07
-0.6492018471312072,-0.27311872986330904,-0.9645698209666166,-0.0003279887506166307,-5.280348337506158e-07,-2.1079357111599582e-07,-3.6134525761614483e-07
0.4481272250504708,-0.15678799046678238,-1.0377192172159948,-0.0001973583741592047,2.565388399937241e-07,-5.8337841029110545e-08,-2.299730258124254e-07
